Customer_ID,Customer_Name,Gender,Age,Mobile_Number,State,City,Join_Date
1,Neha Verma,Female,35,9106885502,Rajasthan,Udaipur,2024-12-11
2,Sneha Singh,Male,18,9619610571,Karnataka,Bengaluru,2024-04-04
3,Rohit Patel,Male,36,9697470458,Uttar Pradesh,Noida,2024-07-30
4,Deepak Joshi,Female,18,9686897865,Karnataka,Bengaluru,2024-07-04
5,Aditya Mehta,Female,28,9558617695,Uttar Pradesh,Lucknow,2024-07-12
6,Aditya Gupta,Male,40,9368804738,Karnataka,Mysuru,2024-06-30
7,Nisha Mehta,Female,47,9002730454,Gujarat,Surat,2025-03-06
8,Rahul Joshi,Male,50,9511608618,Rajasthan,Kota,2024-01-30
9,Neha Mehta,Male,53,9565026125,Maharashtra,Nagpur,2024-08-28
10,Aditya Sharma,Female,52,9424652858,Uttar Pradesh,Lucknow,2024-06-19
11,Vikas Jain,Male,26,9705774602,Karnataka,Mysuru,2025-06-13
12,Nisha Patel,Female,50,9185395148,Karnataka,Bengaluru,2024-07-27
13,Neha Jain,Male,50,9138303493,Maharashtra,Mumbai,2024-11-20
14,Sneha Kumar,Male,52,9277604975,Rajasthan,Kota,2024-08-17
15,Rohit Joshi,Male,56,9975910575,Karnataka,Mysuru,2024-11-19
16,Priya Mehta,Female,30,9260668428,Maharashtra,Pune,2025-01-12
17,Pooja Verma,Female,50,9950609641,Rajasthan,Kota,2024-11-28
18,Kavya Yadav,Female,54,9953789450,Gujarat,Ahmedabad,2024-05-06
19,Riya Mehta,Male,48,9807825539,Rajasthan,Jaipur,2025-04-19
20,Aisha Yadav,Male,38,9631442656,Karnataka,Bengaluru,2024-01-14
21,Aman Singh,Male,35,9828347734,Delhi,New Delhi,2024-04-15
22,Aisha Kumar,Female,30,9816671096,Delhi,New Delhi,2025-06-13
23,Rohit Mehta,Male,30,9330331600,Maharashtra,Pune,2024-11-25
24,Aarav Sharma,Male,45,9424145380,Karnataka,Mysuru,2024-06-05
25,Anjali Jain,Male,50,9668361704,Delhi,New Delhi,2025-05-02
26,Rahul Patel,Male,47,9589078545,Uttar Pradesh,Lucknow,2025-02-03
27,Rahul Kumar,Male,55,9513626272,Rajasthan,Jaipur,2024-06-15
28,Sneha Sharma,Male,27,9376360021,Rajasthan,Kota,2024-04-02
29,Vivaan Gupta,Female,31,9336521045,Gujarat,Rajkot,2025-02-14
30,Anjali Sharma,Male,53,9113432809,Maharashtra,Nagpur,2024-09-26
31,Nisha Gupta,Female,58,9260945505,Delhi,New Delhi,2024-10-28
32,Vikas Patel,Female,46,9198361335,Rajasthan,Kota,2025-05-07
33,Nisha Kumar,Male,42,9040235212,Maharashtra,Nagpur,2024-04-13
